iter	Passed	Remaining
0	143	143323
1	145	72445
2	146	48687
3	147	36826
4	149	29661
5	150	24905
6	151	21490
7	153	18993
8	154	16983
9	155	15368
10	156	14050
11	157	12958
12	158	12029
13	159	11235
14	160	10547
15	161	9939
16	162	9402
17	163	8921
18	164	8510
19	166	8169
20	168	7850
21	169	7536
22	171	7275
23	172	7017
24	174	6788
25	175	6561
26	176	6364
27	177	6164
28	178	5982
29	179	5807
30	180	5642
31	181	5489
32	182	5345
33	183	5215
34	185	5108
35	186	5000
36	188	4895
37	189	4803
38	191	4708
39	192	4614
40	193	4522
41	194	4436
42	195	4351
43	196	4270
44	198	4206
45	199	4139
46	201	4084
47	202	4021
48	203	3957
49	204	3894
50	206	3835
51	207	3776
52	208	3719
53	209	3668
54	211	3627
55	212	3582
56	213	3531
57	214	3489
58	216	3447
59	255	4003
60	257	3963
61	259	3918
62	260	3869
63	261	3826
64	262	3778
65	263	3732
66	264	3686
67	265	3639
68	266	3602
69	268	3563
70	270	3542
71	272	3513
72	273	3477
73	275	3445
74	278	3436
75	280	3415
76	283	3400
77	285	3369
78	286	3338
79	287	3306
80	288	3274
81	290	3247
82	291	3222
83	293	3200
84	294	3173
85	296	3147
86	297	3118
87	298	3091
88	299	3064
89	300	3038
90	301	3013
91	303	2994
92	304	2973
93	306	2955
94	308	2934
95	309	2912
96	310	2889
97	311	2867
98	312	2845
99	314	2826
100	316	2816
101	317	2791
102	318	2773
103	319	2755
104	320	2735
105	322	2720
106	323	2703
107	325	2688
108	327	2675
109	330	2670
110	331	2656
111	333	2644
112	334	2628
113	336	2613
114	337	2595
115	338	2580
116	340	2572
117	342	2558
118	343	2542
119	344	2528
120	345	2512
121	347	2497
122	347	2478
123	348	2463
124	349	2447
125	350	2434
126	352	2421
127	353	2405
128	354	2392
129	356	2386
130	357	2373
131	358	2359
132	359	2346
133	360	2332
134	362	2319
135	363	2306
136	364	2298
137	366	2287
138	367	2277
139	368	2265
140	369	2253
141	370	2240
142	371	2229
143	372	2217
144	374	2205
145	375	2195
146	377	2191
147	378	2181
148	380	2172
149	381	2162
150	382	2151
151	383	2141
152	384	2130
153	385	2119
154	386	2108
155	387	2098
156	389	2093
157	391	2085
158	392	2076
159	394	2068
160	395	2059
161	396	2048
162	397	2038
163	398	2029
164	398	2018
165	400	2009
166	401	2000
167	402	1993
168	404	1987
169	405	1978
170	406	1972
171	408	1964
172	409	1957
173	410	1948
174	411	1939
175	412	1931
176	413	1923
177	415	1917
178	416	1910
179	417	1902
180	418	1892
181	419	1884
182	421	1879
183	422	1872
184	423	1864
185	424	1856
186	425	1848
187	427	1844
188	428	1838
189	429	1831
190	430	1823
191	431	1815
192	432	1809
193	433	1801
194	435	1797
195	436	1791
196	437	1783
197	440	1786
198	442	1783
199	444	1776
200	445	1769
201	446	1762
202	447	1755
203	448	1749
204	449	1742
205	450	1735
206	451	1729
207	452	1724
208	454	1718
209	455	1713
210	456	1706
211	457	1699
212	458	1692
213	459	1686
214	460	1680
215	461	1673
216	462	1667
217	463	1661
218	464	1655
219	465	1650
220	466	1645
221	468	1640
222	469	1635
223	470	1629
224	471	1624
225	472	1618
226	473	1611
227	474	1605
228	475	1599
229	476	1595
230	477	1589
231	479	1587
232	480	1582
233	482	1577
234	483	1573
235	484	1567
236	485	1562
237	486	1556
238	487	1550
239	488	1545
240	489	1541
241	490	1536
242	492	1533
243	493	1530
244	494	1525
245	496	1520
246	497	1515
247	497	1509
248	498	1504
249	499	1499
250	500	1494
251	501	1489
252	502	1485
253	504	1481
254	505	1478
255	507	1473
256	508	1469
257	509	1464
258	510	1459
259	511	1454
260	512	1450
261	513	1445
262	514	1440
263	517	1442
264	520	1442
265	521	1438
266	522	1433
267	523	1429
268	524	1424
269	525	1420
270	526	1416
271	527	1412
272	529	1409
273	530	1405
274	531	1402
275	533	1398
276	534	1394
277	535	1390
278	536	1385
279	537	1381
280	538	1376
281	538	1372
282	540	1368
283	541	1364
284	543	1362
285	544	1359
286	545	1356
287	547	1352
288	548	1349
289	549	1344
290	550	1340
291	551	1336
292	552	1332
293	552	1327
294	553	1323
295	555	1320
296	556	1318
297	558	1315
298	559	1311
299	560	1308
300	561	1304
301	562	1300
302	563	1296
303	564	1292
304	565	1288
305	567	1286
306	569	1285
307	570	1281
308	571	1278
309	572	1274
310	573	1270
311	574	1266
312	575	1262
313	576	1258
314	576	1254
315	577	1250
316	579	1248
317	580	1245
318	582	1244
319	584	1242
320	586	1240
321	587	1237
322	588	1234
323	590	1231
324	592	1229
325	596	1232
326	597	1230
327	599	1229
328	601	1226
329	602	1224
330	604	1222
331	606	1221
332	609	1220
333	611	1218
334	612	1215
335	614	1213
336	615	1211
337	618	1211
338	620	1209
339	622	1207
340	623	1204
341	625	1203
342	629	1206
343	632	1206
344	633	1203
345	636	1202
346	637	1199
347	639	1197
348	643	1199
349	645	1198
350	647	1196
351	648	1194
352	650	1191
353	651	1188
354	652	1186
355	654	1184
356	657	1183
357	658	1181
358	660	1179
359	663	1179
360	667	1182
361	671	1183
362	673	1182
363	675	1179
364	676	1177
365	681	1180
366	683	1178
367	685	1177
368	687	1175
369	689	1173
370	690	1170
371	693	1171
372	695	1169
373	697	1167
374	700	1166
375	702	1166
376	706	1167
377	709	1166
378	711	1165
379	712	1163
380	714	1160
381	715	1157
382	716	1154
383	719	1154
384	721	1152
385	723	1150
386	724	1148
387	726	1145
388	727	1142
389	728	1139
390	729	1136
391	732	1135
392	734	1133
393	735	1131
394	737	1129
395	738	1126
396	739	1123
397	741	1121
398	742	1118
399	744	1117
400	746	1115
401	748	1112
402	749	1110
403	751	1108
404	752	1105
405	753	1103
406	755	1100
407	757	1098
408	759	1096
409	760	1094
410	762	1093
411	764	1090
412	765	1087
413	766	1084
414	767	1081
415	769	1080
416	771	1078
417	773	1076
418	774	1074
419	776	1071
420	777	1069
421	778	1066
422	779	1063
423	781	1061
424	783	1060
425	786	1059
426	787	1056
427	788	1053
428	789	1050
429	790	1047
430	791	1045
431	792	1042
432	795	1041
433	797	1039
434	799	1037
435	800	1035
436	802	1033
437	803	1030
438	804	1027
439	805	1024
440	807	1023
441	809	1021
442	811	1019
443	812	1017
444	813	1014
445	815	1012
446	816	1009
447	817	1007
448	818	1004
449	820	1002
450	822	1000
451	824	999
452	857	1035
453	858	1033
454	860	1030
455	861	1027
456	862	1025
457	863	1022
458	864	1019
459	866	1016
460	867	1014
461	868	1011
462	869	1008
463	870	1005
464	872	1003
465	873	1000
466	875	999
467	876	996
468	877	993
469	878	990
470	879	988
471	880	985
472	882	982
473	886	983
474	888	981
475	889	978
476	890	976
477	891	973
478	892	970
479	893	967
480	894	965
481	895	962
482	896	959
483	897	957
484	898	954
485	900	952
486	901	949
487	902	946
488	903	944
489	904	941
490	905	938
491	906	935
492	907	932
493	908	930
494	909	927
495	910	924
496	911	922
497	912	919
498	913	917
499	914	914
500	915	912
501	916	909
502	917	906
503	918	904
504	919	901
505	920	898
506	921	896
507	923	894
508	925	892
509	926	890
510	927	887
511	928	885
512	929	882
513	930	879
514	931	877
515	932	874
516	933	871
517	934	869
518	935	866
519	937	865
520	938	863
521	939	860
522	940	857
523	941	855
524	942	852
525	943	849
526	944	847
527	944	844
528	945	842
529	946	839
530	947	836
531	948	834
532	950	832
533	951	830
534	952	827
535	953	825
536	954	822
537	955	820
538	957	818
539	961	819
540	963	817
541	964	815
542	966	813
543	967	810
544	968	808
545	969	806
546	970	803
547	971	801
548	972	798
549	975	798
550	977	796
551	978	793
552	979	791
553	980	788
554	980	786
555	981	784
556	982	781
557	983	779
558	984	776
559	985	774
560	986	772
561	988	770
562	989	768
563	990	765
564	991	763
565	992	761
566	993	758
567	994	756
568	995	753
569	996	751
570	997	749
571	997	746
572	998	744
573	1000	742
574	1002	740
575	1003	738
576	1004	736
577	1005	733
578	1006	731
579	1006	729
580	1008	727
581	1008	724
582	1009	722
583	1010	719
584	1011	717
585	1012	715
586	1014	713
587	1016	711
588	1017	709
589	1018	707
590	1019	705
591	1019	702
592	1020	700
593	1021	698
594	1022	696
595	1023	693
596	1024	691
597	1025	689
598	1026	687
599	1027	685
600	1029	683
601	1030	680
602	1030	678
603	1031	676
604	1032	674
605	1033	672
606	1034	670
607	1035	667
608	1037	665
609	1037	663
610	1039	661
611	1040	659
612	1042	657
613	1042	655
614	1043	653
615	1044	651
616	1045	649
617	1046	646
618	1047	644
619	1048	642
620	1049	640
621	1050	638
622	1051	636
623	1053	634
624	1054	632
625	1055	630
626	1056	628
627	1056	626
628	1057	623
629	1058	621
630	1059	619
631	1060	617
632	1060	615
633	1062	613
634	1063	611
635	1064	609
636	1065	607
637	1066	605
638	1067	603
639	1068	601
640	1069	598
641	1070	596
642	1070	594
643	1071	592
644	1072	590
645	1073	588
646	1074	586
647	1075	584
648	1076	582
649	1077	580
650	1079	578
651	1080	576
652	1081	574
653	1082	572
654	1082	570
655	1083	568
656	1084	566
657	1085	564
658	1086	562
659	1087	560
660	1088	558
661	1089	556
662	1090	554
663	1091	552
664	1093	550
665	1094	548
666	1094	546
667	1095	544
668	1096	542
669	1097	540
670	1098	538
671	1099	536
672	1099	534
673	1100	532
674	1101	530
675	1102	528
676	1104	526
677	1105	525
678	1106	523
679	1107	521
680	1108	519
681	1109	517
682	1109	515
683	1110	513
684	1111	511
685	1112	509
686	1113	507
687	1114	505
688	1114	503
689	1115	501
690	1117	499
691	1118	497
692	1119	495
693	1120	494
694	1121	492
695	1122	490
696	1123	488
697	1123	486
698	1124	484
699	1125	482
700	1126	480
701	1127	478
702	1128	476
703	1129	474
704	1131	473
705	1131	471
706	1132	469
707	1133	467
708	1134	465
709	1135	463
710	1136	461
711	1137	459
712	1137	458
713	1138	456
714	1139	454
715	1140	452
716	1141	450
717	1143	449
718	1144	447
719	1145	445
720	1146	443
721	1147	441
